Season,AvgTime,FirstGame,LastGame,NbGames,Region,TournamentName
S9,2032,2019-08-22,2019-08-31,14,OCE,OPL Split 2 Playoffs 2019
S9,2026,2019-08-23,2019-08-31,13,TW,LMS Summer Playoffs 2019
S9,1977,2019-06-18,2019-08-28,86,PL,Ultraliga Season 2
S9,1788,2019-07-20,2019-08-25,57,CIS,LCL Summer 2019
S9,2022,2019-08-24,2019-08-25,14,CZ,Hitpoint LEGENDS 4
S9,1962,2019-08-10,2019-08-25,26,NA,LCS Summer Playoffs 2019
S9,1915,2019-06-01,2019-08-18,287,CN,LPL Summer 2019
S9,1981,2019-06-15,2019-08-18,84,JP,LJL Summer 2019
S9,1892,2019-07-21,2019-08-18,36,CZ,Hitpoint Masters Season 12
S9,2018,2019-06-05,2019-08-18,218,KR,LCK Summer 2019
S9,1923,2019-06-07,2019-08-17,84,OCE,OPL Split 2 2019
S9,1955,2019-08-02,2019-08-17,20,NA,NA Academy Summer Playoffs 2019
S9,1935,2019-06-07,2019-08-17,91,EUW,LEC Summer 2019
S9,1931,2019-06-20,2019-08-11,135,VN,VCS Summer 2019
S9,1967,2019-06-01,2019-08-10,84,BR,CBLOL Winter 2019
S9,1904,2019-06-08,2019-08-06,82,PT,LPLOL Summer 2019
S9,1971,2019-06-08,2019-08-04,91,TR,TCL Summer 2019
S9,2012,2019-06-13,2019-08-04,102,TW,LMS Summer 2019
S9,2022,2019-06-01,2019-08-04,93,NA,LCS Summer 2019
S9,2027,2019-06-08,2019-08-04,84,LAT,LLA Closing 2019
S9,1888,2019-05-21,2019-07-31,69,FR,LFL Summer 2019
S9,1915,2019-05-31,2019-07-28,90,NA,NA Academy Summer 2019
S9,1910,2019-06-02,2019-07-28,72,IT,PG Nationals Summer 2019
S9,1875,2019-07-04,2019-07-07,19,WR,LCK-LPL-LMS-VCS Rift Rivals 2019
S9,1672,2019-06-27,2019-06-29,13,WR,NA-EU Rift Rivals 2019
S9,1844,2019-05-10,2019-05-19,42,WR,Mid-Season Invitational 2019
S9,1898,2019-05-01,2019-05-07,37,WR,MSI Play-In 2019
S9,1890,2019-04-15,2019-04-28,45,EUW,EU Master Spring 2019
S9,1980,2019-04-20,2019-04-21,7,SEA,LST Spring 2019
S9,1878,2019-04-04,2019-04-21,31,CN,LPL Spring Playoffs 2019
S9,2059,2019-04-16,2019-04-21,16,KR,LCK Summer Promotion 2019
S9,1998,2019-03-30,2019-04-20,21,LAT,LLA Opening Playoffs 2019
S9,2102,2019-04-12,2019-04-20,12,TW,LMS Spring Playoffs 2019
S9,1961,2019-03-29,2019-04-14,21,EUW,LEC Spring Playoffs 2019
S9,1807,2019-03-30,2019-04-14,10,CIS,LCL Spring Playoffs 2019
S9,2185,2019-03-30,2019-04-13,13,VN,VCS Spring Playoffs 2019
S9,1909,2019-03-29,2019-04-13,17,TR,TCL Spring Playoffs 2019
S9,2107,2019-04-06,2019-04-13,13,BR,CBLOL Summer Playoffs 2019
S9,2046,2019-03-29,2019-04-13,22,NA,LCS Spring Playoffs 2019
S9,2002,2019-04-03,2019-04-13,12,KR,LCK Spring Playoffs 2019
S9,1910,2019-04-06,2019-04-13,6,JP,LJL Spring Playoffs 2019
S9,1863,2019-04-08,2019-04-11,25,EUW,EU Master 2019 Spring Play-In
S9,1959,2019-01-27,2019-04-07,73,IT,PG Nationals Spring 2019
S9,1966,2019-03-28,2019-04-06,13,OCE,OPL Split 1 Playoffs 2019
S9,1923,2019-03-21,2019-04-06,19,NA,NA Academy Spring Playoffs 2019
S9,1963,2019-01-22,2019-04-03,74,FR,LFL Spring 2019
S9,2054,2019-01-16,2019-03-31,208,KR,LCK Spring 2019
S9,1986,2019-01-17,2019-03-31,138,TW,LMS Spring 2019
S9,1952,2019-01-14,2019-03-31,292,CN,LPL Spring 2019
S9,2024,2019-01-30,2019-03-31,112,ES,LVP SLO Spring 2019
S9,1999,2019-02-14,2019-03-29,59,UK,LVP UKLC Spring 2019
S9,1936,2019-01-22,2019-03-27,79,PL,Ultraliga Season 1
S9,1870,2019-01-17,2019-03-24,134,VN,VCS Spring 2019
S9,1783,2019-02-16,2019-03-24,57,CIS,LCL Spring 2019
S9,1974,2019-03-23,2019-03-24,11,CZ,Hitpoint LEGENDS 3
S9,2150,2019-01-26,2019-03-24,91,NA,LCS Spring 2019
S9,2082,2019-01-12,2019-03-24,84,BR,CBLOL Summer 2019
S9,2067,2019-01-19,2019-03-24,84,LAT,LLA Opening 2019
S9,1921,2019-01-18,2019-03-23,84,OCE,OPL Split 1 2019
S9,1994,2019-01-19,2019-03-22,84,JP,LJL Spring 2019
S9,1935,2019-01-19,2019-03-18,91,TR,TCL Spring 2019
S9,1874,2019-02-17,2019-03-17,33,CZ,Hitpoint Masters Season 11
S9,1963,2019-01-18,2019-03-16,91,EUW,LEC Spring 2019
S9,2050,2019-01-18,2019-03-16,90,NA,NA Academy Spring 2019
S9,1891,2019-01-28,2019-03-13,56,PT,LPLOL Spring 2019
S9,2065,2018-12-26,2018-12-31,19,KR,Kespa Cup Playoffs 2018
S9,1969,2018-10-22,2018-12-23,105,PL,Ultraliga Season 0
S10,1819,2020-11-28,2020-12-06,23,CZ,Hitpoint Masters 2020 Winter Playoffs
S10,1868,2020-11-16,2020-11-22,14,PT,LPLOL Grand Final 2020
S10,1872,2020-10-18,2020-11-15,57,CZ,Hitpoint Masters Winter League 2020
S10,1892,2020-10-01,2020-11-15,46,DE,Prime League Grand Final 2020
S10,1963,2020-10-21,2020-11-15,51,WR,Iberian Cup 2020
S10,1921,2020-10-03,2020-10-31,76,WR,World Championship 2020
S10,1866,2020-10-06,2020-10-26,6,FR,LFL Finals 2020
S10,1599,2020-10-20,2020-10-20,5,ES,Iberian Cup 2020
S10,1737,2020-09-28,2020-10-01,18,FR,LFL Summer Playoffs 2020
S10,1945,2020-09-25,2020-09-30,38,WR,World Championship Play-In 2020
S10,2008,2020-07-28,2020-09-24,62,FR,LFL Summer 2020
S10,1854,2020-08-24,2020-09-20,69,WR,EU Masters Summer 2020
S10,1977,2020-09-07,2020-09-09,10,KR,LCK Regional Finals 2020
S10,2114,2020-08-13,2020-09-06,48,NA,LCS Summer Playoffs 2020
S10,1971,2020-08-21,2020-09-06,30,EUW,LEC Summer Playoffs 2020
S10,2076,2020-08-16,2020-09-06,25,JP,LJL Summer Playoffs 2020
S10,2049,2020-08-22,2020-09-05,14,BR,CBLOL Split 2 Playoffs 2020
S10,1805,2020-08-26,2020-09-05,14,KR,LCK Summer Playoffs 2020
S10,1970,2020-08-15,2020-09-05,21,TR,TCL Summer Playoffs 2020
S10,1926,2020-08-19,2020-09-05,34,VN,VCS Summer Playoffs 2020
S10,1885,2020-08-10,2020-09-04,19,ES,LVP SLO Summer Playoffs 2020
S10,2213,2020-08-24,2020-08-31,10,KR,CK Summer Playoffs 2020
S10,1764,2020-08-15,2020-08-30,10,CIS,LCL Summer Playoffs 2020
S10,2048,2020-08-28,2020-08-30,12,CN,LPL Regional Finals 2020
S10,2109,2020-08-13,2020-08-30,38,PCS,PCS Summer Playoffs 2020
S10,2092,2020-08-15,2020-08-29,14,LAT,LLA Closing Playoffs 2020
S10,2004,2020-08-14,2020-08-28,23,OCE,OPL Split 2 Playoffs 2020
